y_win,p_ioc,p_hand,o_ioc,o_hand,p_ht,p_age,p_rank,o_ht,o_age,o_rank,p_set_1,o_set_1,p_ace,p_df,p_svpt,p_1stWon,p_2ndWon,p_bpFaced,o_ace,o_df,o_svpt,o_1stWon,o_2ndWon,o_bpFaced
W,KAZ,R,BUL,R,180,28,70,180,28,78,6,4,6,2,28,12,9,2,0,1,44,20,5,6
W,LAT,U,AUS,R,170,26,113,174,29,122,6,0,4,2,23,10,4,2,0,2,21,6,2,4
W,SRB,R,AUS,R,183,28,23,168,26,459,6,2,2,2,29,13,8,0,0,2,29,12,5,5
W,USA,L,UKR,R,180,30,51,174,27,35,6,7,1,0,37,15,8,3,1,2,35,15,5,4
W,ESP,R,UKR,R,166,24,86,175,22,146,6,7,1,0,37,16,4,6,1,1,35,10,6,6
W,FRA,R,SRB,R,173,26,33,175,24,84,6,1,1,1,22,11,5,2,1,2,19,4,3,4
W,CHN,R,ROU,R,178,27,133,168,24,2,6,4,0,0,36,15,7,6,1,0,25,9,2,4
W,USA,R,TPE,R,175,34,1,169,30,90,6,1,4,2,26,12,7,2,0,1,19,4,6,4
W,RUS,R,CRO,R,170,19,69,175,18,87,6,4,2,2,30,12,6,3,1,6,42,12,9,7
W,RUS,R,JPN,R,183,21,58,155,24,94,6,4,4,1,27,13,5,2,0,2,40,18,4,5
W,KAZ,R,CHN,L,163,21,76,173,26,162,6,3,1,1,27,13,5,3,1,4,26,9,3,3
W,SUI,R,HUN,R,175,19,13,179,23,60,6,3,1,1,25,14,5,0,4,2,28,11,6,4
W,UKR,R,RUS,R,175,29,92,174,31,20,6,1,0,1,29,17,2,2,1,2,33,14,3,7
W,USA,R,SVK,R,157,22,103,180,27,75,6,1,2,2,25,12,4,2,2,0,26,11,5,2
W,RUS,R,BLR,R,188,29,5,175,22,105,6,2,2,2,25,11,5,3,0,3,22,6,1,5
W,POL,R,CAN,R,170,27,4,178,22,37,6,4,0,1,34,13,8,4,1,2,26,8,6,2
W,PUR,R,CZE,L,170,22,52,183,24,114,4,6,3,1,41,19,9,2,10,2,36,17,8,1
W,GER,R,CHN,R,175,22,82,173,24,102,6,3,2,2,32,15,7,1,2,2,28,12,5,2
W,ITA,R,USA,R,163,33,15,163,26,74,6,2,2,1,24,12,6,1,1,2,25,6,6,4
W,ESP,R,GRE,R,162,27,11,173,20,170,6,7,0,1,35,16,6,4,2,1,32,14,4,5
W,RUS,R,ROU,R,175,20,109,168,28,40,6,4,1,1,29,12,5,3,2,2,37,15,5,6
W,FRA,R,USA,R,184,23,30,168,23,106,6,1,3,1,28,17,5,1,1,2,30,13,5,2
W,AUS,R,CZE,L,165,22,39,183,26,7,6,4,2,3,33,15,5,2,1,4,30,10,5,3
W,GER,L,ROU,R,173,28,6,173,27,61,6,2,1,1,22,12,3,2,2,1,30,13,2,7
