y_win,p_ioc,p_hand,o_ioc,o_hand,p_ht,p_age,p_rank,o_ht,o_age,o_rank,p_set_1,o_set_1,p_ace,p_df,p_svpt,p_1stWon,p_2ndWon,p_bpFaced,o_ace,o_df,o_svpt,o_1stWon,o_2ndWon,o_bpFaced
L,KAZ,R,ROU,R,163,23,54,173,25,104,6,1,0,2,27,10,4,3,1,1,22,10,3,3
L,RUS,U,USA,R,173,23,92,178,23,20,0,6,1,3,18,4,3,5,4,1,18,9,6,1
L,CRO,R,BLR,R,180,36,30,175,24,56,3,6,1,3,27,9,3,6,1,2,23,14,3,1
L,CZE,L,FRA,R,173,19,62,178,24,8,7,6,3,3,39,15,9,5,3,0,34,18,6,2
L,SUI,R,THA,R,175,21,78,168,24,124,1,6,2,3,32,11,4,8,2,2,31,13,6,4
L,ROU,R,CRO,R,181,27,40,181,27,81,4,6,1,2,50,19,8,7,1,3,39,17,7,4
L,AUS,R,BEL,U,165,24,23,178,22,37,5,7,1,5,34,11,5,4,0,2,44,20,5,9
L,GER,R,FRA,R,180,29,12,173,28,42,4,6,1,2,33,13,6,6,1,2,32,15,6,3
L,CHN,R,CZE,R,178,29,34,180,25,130,4,6,1,1,37,17,4,3,1,1,39,18,6,3
L,RUS,R,POL,R,170,21,25,170,26,74,6,7,2,3,37,13,5,4,1,2,35,13,6,2
L,AUS,R,UKR,R,175,27,168,170,16,521,3,6,1,2,33,10,7,5,3,6,43,18,6,4
L,CZE,R,UKR,R,175,22,59,174,23,4,6,4,0,2,33,10,7,7,3,1,31,12,6,3
L,CHN,R,LAT,R,185,29,100,178,21,7,3,6,1,1,29,11,3,4,3,2,25,9,5,2
L,GER,R,EST,R,185,28,53,175,22,33,3,6,1,2,28,11,5,4,2,3,29,12,6,4
L,PUR,R,EST,R,170,24,58,181,33,79,4,6,1,3,37,15,4,4,2,1,25,10,7,2
L,HUN,R,ESP,R,179,25,51,162,29,39,4,6,1,1,24,9,6,2,1,1,31,15,3,3
L,RUS,R,UKR,R,177,27,18,175,31,94,2,6,1,2,27,12,3,4,2,2,33,16,5,3
L,BEL,R,SVK,R,165,32,75,180,29,21,4,6,1,1,27,10,5,3,0,0,24,6,6,3
L,USA,R,NED,R,168,25,113,182,26,32,6,7,0,1,29,13,4,4,4,1,31,16,6,2
L,CRO,R,DEN,R,168,21,119,177,28,2,6,3,0,3,30,7,8,3,1,2,34,14,5,6
L,USA,R,ROU,R,157,24,76,168,26,1,6,4,0,2,51,22,8,7,1,1,50,24,7,5
L,AUS,R,JPN,R,165,22,17,180,20,72,4,6,1,0,24,10,5,2,6,1,31,17,4,2
L,USA,L,CZE,R,173,23,123,164,32,24,2,6,1,2,20,5,5,3,3,1,26,14,5,1
L,CZE,L,CZE,R,177,31,29,184,26,6,6,7,1,2,40,20,8,1,6,1,35,23,5,1
L,POL,R,TPE,R,170,29,35,169,32,88,2,6,1,2,30,10,3,4,1,2,35,17,4,3
L,RUS,R,GER,L,188,31,48,173,30,16,1,6,1,1,23,6,4,4,1,1,23,13,3,2
L,ROU,R,USA,R,173,25,104,178,23,20,3,6,0,1,30,13,5,3,3,1,31,17,6,2
L,BLR,R,FRA,R,175,24,56,178,24,8,3,6,1,2,28,11,5,2,3,0,30,16,4,3
L,THA,R,CRO,R,168,24,124,181,27,81,3,6,1,2,33,12,5,4,1,2,30,10,7,4
L,FRA,R,BEL,U,173,28,42,178,22,37,5,7,1,6,38,11,6,8,1,3,41,19,3,5
L,POL,R,CZE,R,170,26,74,180,25,130,1,6,1,2,33,11,6,6,3,3,26,12,6,2
L,UKR,R,UKR,R,170,16,521,174,23,4,2,6,0,5,27,8,5,4,3,0,19,11,4,1
L,LAT,R,EST,R,178,21,7,175,22,33,3,6,1,1,32,10,4,7,2,2,23,9,2,5
L,EST,R,ESP,R,181,33,79,162,29,39,6,3,1,1,30,9,6,4,0,0,24,11,4,3
L,UKR,R,SVK,R,175,31,94,180,29,21,5,7,1,3,26,11,6,1,3,1,29,14,5,2
L,NED,R,DEN,R,182,26,32,177,28,2,4,6,2,1,27,13,3,2,2,1,35,17,6,3
L,JPN,R,ROU,R,180,20,72,168,26,1,3,6,3,1,30,11,4,4,1,1,33,14,6,4
L,CZE,R,CZE,R,164,32,24,184,26,6,7,6,1,1,39,18,4,6,1,0,33,15,6,2
L,TPE,R,GER,L,169,32,88,173,30,16,6,4,0,2,36,13,6,4,1,0,28,13,5,2
L,FRA,R,USA,R,178,24,8,178,23,20,3,6,1,1,27,10,3,4,5,2,31,15,6,3
L,CRO,R,BEL,U,181,27,81,178,22,37,6,7,4,2,43,17,7,6,5,3,43,21,6,7
L,CZE,R,UKR,R,180,25,130,174,23,4,3,6,1,2,30,9,3,6,4,1,22,10,5,1
L,EST,R,ESP,R,175,22,33,162,29,39,6,4,1,2,37,17,5,5,1,0,39,17,7,3
L,SVK,R,DEN,R,180,29,21,177,28,2,3,6,1,1,22,7,2,5,1,2,22,12,3,1
L,CZE,R,ROU,R,184,26,6,168,26,1,3,6,1,2,32,12,4,5,0,2,27,13,5,2
L,USA,R,GER,L,178,23,20,173,30,16,1,6,0,2,23,7,3,5,1,1,20,10,4,2
L,UKR,R,BEL,U,174,23,4,178,22,37,4,6,2,0,26,7,5,5,1,1,25,11,6,1
L,ESP,R,DEN,R,162,29,39,177,28,2,0,6,0,0,28,12,3,2,3,0,30,13,6,1
L,GER,L,ROU,R,173,30,16,168,26,1,3,6,0,0,42,16,5,7,2,1,31,14,3,2
L,BEL,U,DEN,R,178,22,37,177,28,2,3,6,2,1,34,12,9,3,4,3,37,19,8,2
L,ROU,R,DEN,R,168,26,1,177,28,2,6,7,2,0,39,15,7,5,1,2,34,13,7,4
W,USA,R,SVK,R,175,35,1,180,28,77,6,2,2,1,16,11,3,2,2,3,22,6,3,6
W,BRA,R,CZE,L,168,28,81,183,24,109,7,5,1,1,40,20,5,4,5,1,36,14,7,3
W,HUN,R,USA,R,179,23,45,188,21,106,6,4,1,3,22,13,4,1,1,0,25,9,3,4
W,FRA,R,ITA,R,184,23,30,166,36,95,6,2,1,0,25,12,5,1,0,3,36,10,6,8
W,UKR,R,ROU,R,174,22,20,176,26,97,6,1,1,2,26,14,3,1,1,1,24,8,3,5
W,USA,L,FRA,R,170,20,172,165,23,157,6,2,2,1,19,10,5,1,1,2,25,6,7,5
W,JPN,R,CZE,R,155,24,91,180,23,70,5,7,1,1,24,9,5,2,0,1,26,9,4,2
W,SRB,R,FRA,R,183,29,16,183,20,148,6,0,3,2,30,14,5,3,1,3,30,8,7,5
W,ESP,R,CZE,R,162,28,14,175,20,104,6,2,0,0,26,11,6,2,0,1,35,12,7,7
W,CHN,R,FRA,R,173,24,74,170,18,311,6,0,3,1,20,12,2,2,0,1,21,5,2,4
W,CRO,R,RUS,R,175,18,76,168,26,237,6,2,2,1,22,12,5,0,1,2,30,10,5,4
W,SVK,R,CHN,R,161,27,25,170,22,85,6,3,0,1,30,11,7,2,1,3,25,8,5,5
W,GER,R,GBR,L,180,29,31,180,22,329,6,2,3,4,36,15,6,4,1,2,27,6,5,6
W,KAZ,R,CAN,R,163,21,60,175,29,514,6,1,1,0,21,11,4,1,0,2,22,6,2,5
W,LAT,U,USA,R,170,26,87,163,21,165,6,2,1,1,29,13,6,2,1,0,25,8,5,4
W,ITA,R,BLR,R,180,29,118,180,27,5,6,3,2,1,29,13,3,2,0,3,29,11,2,5
W,NED,R,GER,L,182,24,58,173,28,3,6,2,1,1,26,12,4,2,0,0,25,10,5,3
W,ITA,R,FRA,R,168,24,44,173,26,156,6,3,1,1,26,10,6,4,0,0,33,12,2,6
W,FRA,R,TUR,R,173,33,184,175,20,171,4,6,1,1,26,12,3,2,0,2,24,9,2,4
W,RUS,R,GER,R,170,19,32,175,22,48,6,1,1,1,26,9,6,2,2,0,30,10,6,5
W,GER,R,GBR,R,180,28,57,180,25,21,6,2,1,1,24,12,7,0,1,1,25,10,4,4
W,PUR,R,BLR,R,170,23,53,182,28,105,7,5,5,2,35,18,7,2,0,1,27,14,4,2
W,COL,R,AUS,R,170,27,75,165,22,46,5,7,1,2,32,14,4,4,0,0,38,16,4,5
W,USA,R,CRO,R,178,21,17,178,20,96,6,3,2,1,23,12,4,2,0,5,34,12,4,6
W,USA,R,EST,R,185,36,11,175,20,82,7,6,2,2,45,21,6,2,1,2,45,20,6,4
W,USA,R,USA,R,175,20,78,157,23,113,6,2,0,1,41,14,7,6,0,1,34,11,5,5
W,FRA,R,BEL,R,173,26,50,165,30,61,6,1,1,1,20,9,4,2,0,1,20,2,4,5
W,GER,R,SRB,R,173,29,111,177,31,26,6,3,1,1,33,11,8,2,1,1,34,12,7,4
W,FRA,R,ROU,R,175,30,88,168,29,35,6,2,1,2,44,16,8,7,0,2,36,12,4,9
W,USA,R,GER,R,163,26,63,185,26,66,6,4,0,3,36,12,8,4,2,1,25,10,5,3
W,CAN,R,GER,R,178,22,47,168,28,37,6,2,0,0,21,12,3,1,0,3,31,12,4,7
W,SUI,R,ESP,R,170,27,9,170,29,126,6,3,1,2,27,14,2,2,0,0,29,11,2,6
W,UKR,R,ITA,R,175,30,65,163,33,7,6,1,1,4,26,11,6,3,1,1,27,8,3,6
W,GER,R,UKR,R,170,22,39,175,23,141,6,1,0,1,24,9,6,2,0,5,36,12,4,9
W,USA,R,GBR,R,185,24,43,188,26,79,6,4,2,2,31,10,7,3,1,1,31,14,3,4
W,ROU,R,USA,R,181,26,28,168,31,86,5,7,1,1,28,11,8,2,1,2,34,14,6,4
W,USA,R,CZE,R,175,24,108,184,24,19,3,6,1,1,27,11,5,2,4,1,26,11,4,3
W,RUS,R,USA,R,176,30,49,168,26,68,6,2,2,2,30,12,4,3,1,1,30,10,3,7
W,TPE,R,ESP,R,169,30,80,166,24,92,7,6,0,1,28,13,4,3,1,1,38,14,5,7
W,CZE,L,MNE,R,183,26,12,170,22,59,6,2,1,3,33,14,6,4,2,1,30,11,6,5
W,RUS,R,KAZ,R,174,31,15,180,29,89,4,6,0,1,31,15,5,3,1,2,30,12,4,3
W,GBR,R,USA,R,170,24,56,168,23,72,5,7,1,1,32,11,8,4,0,1,35,12,5,5
W,TUR,R,BLR,R,173,27,83,175,22,98,5,7,1,1,41,19,6,3,2,0,37,13,8,5
W,RUS,R,ESP,R,177,25,27,175,20,190,6,2,0,0,18,9,4,1,1,5,31,7,5,5
W,RUS,L,USA,L,178,28,29,180,30,64,5,7,0,1,27,10,5,2,2,2,39,15,5,7
W,BEL,R,ROU,R,182,27,54,173,27,127,6,1,1,1,30,14,4,3,0,0,24,6,3,6
W,FRA,R,USA,R,175,25,203,170,24,67,6,7,0,2,29,10,5,3,0,2,30,10,2,6
W,ESP,R,SVK,R,182,23,4,175,22,38,3,6,1,3,39,16,6,7,0,1,31,12,5,4
W,ROU,R,JPN,R,168,25,6,163,21,71,6,2,0,1,21,10,4,2,0,1,17,2,2,4
W,KAZ,R,GER,R,173,23,90,175,21,100,2,6,0,0,28,15,1,3,1,1,30,13,2,4
W,CRO,R,SVK,R,180,34,52,181,33,170,6,1,1,2,27,13,5,2,1,1,23,7,4,5
W,JPN,R,LAT,R,180,19,101,178,19,36,6,4,3,0,40,15,9,5,1,4,41,14,7,4
W,AUS,R,JPN,L,172,32,24,159,25,42,6,2,3,2,32,14,5,3,1,0,26,7,6,3
W,CHN,R,KAZ,R,178,27,69,183,31,492,7,5,0,2,36,17,4,5,1,1,35,10,6,6
W,SUI,R,USA,R,170,24,130,175,26,93,6,2,0,2,30,10,4,5,1,2,22,8,2,4
W,CZE,L,RUS,R,177,29,13,170,26,225,6,0,3,3,18,10,3,1,0,5,28,8,3,7
W,BUL,R,ITA,R,180,29,102,164,29,18,6,3,1,2,32,14,6,2,0,0,24,10,2,5
W,SWE,R,POL,R,174,28,62,170,24,84,6,3,0,0,40,18,5,8,0,0,32,13,3,4
W,PAR,R,GER,R,163,24,161,178,27,51,6,2,1,0,21,13,3,0,2,2,28,6,8,5
W,USA,R,RUS,R,170,23,22,183,22,55,6,4,1,0,38,17,6,4,1,1,31,14,3,5
W,CZE,R,CZE,R,164,30,33,177,31,146,6,4,1,1,39,18,5,6,2,1,35,11,7,6
W,SLO,R,ESP,R,182,25,94,163,35,112,6,4,0,2,39,18,5,6,0,2,38,15,6,6
W,FRA,R,UKR,R,178,23,40,174,27,41,6,3,3,1,32,15,6,2,0,3,41,16,6,6
W,POL,R,SRB,R,170,27,2,175,24,120,6,0,1,1,29,15,4,2,0,1,25,9,2,5
W,USA,R,BRA,R,175,35,1,168,28,81,6,2,3,1,18,11,3,1,1,0,31,11,3,6
W,FRA,R,HUN,R,184,23,30,179,23,45,6,4,1,2,32,14,7,2,1,0,26,7,6,3
W,UKR,R,USA,L,174,22,20,170,20,172,6,3,1,2,28,13,6,3,1,2,23,7,3,5
W,SRB,R,JPN,R,183,29,16,155,24,91,7,5,2,1,30,13,7,2,1,0,35,13,6,8
W,ESP,R,CHN,R,162,28,14,173,24,74,6,1,1,1,23,10,7,1,1,1,31,10,5,6
W,SVK,R,CRO,R,161,27,25,175,18,76,6,4,1,3,24,10,2,3,1,4,29,8,5,6
W,KAZ,R,GER,R,163,21,60,180,29,31,6,2,1,1,33,14,5,5,0,2,33,11,4,7
W,ITA,R,LAT,U,180,29,118,170,26,87,6,3,1,0,35,16,9,2,1,2,32,12,7,3
W,NED,R,ITA,R,182,24,58,168,24,44,6,4,3,0,23,12,4,2,0,2,32,10,5,6
W,RUS,R,FRA,R,170,19,32,173,33,184,3,6,0,0,23,9,5,2,2,1,30,10,4,3
W,PUR,R,GER,R,170,23,53,180,28,57,7,5,1,1,41,20,7,2,4,2,44,20,8,6
W,USA,R,COL,R,178,21,17,170,27,75,6,3,1,0,27,13,6,2,1,2,33,10,7,5
W,USA,R,USA,R,185,36,11,175,20,78,6,2,2,0,21,12,5,0,0,2,22,6,5,4
W,FRA,R,GER,R,173,26,50,173,29,111,6,3,0,1,34,14,6,4,0,0,33,10,7,3
W,FRA,R,USA,R,175,30,88,163,26,63,6,3,1,1,21,10,7,1,0,1,27,11,3,3
W,SUI,R,CAN,R,170,27,9,178,22,47,6,4,1,1,32,16,3,5,0,1,29,10,5,4
W,GER,R,UKR,R,170,22,39,175,30,65,4,6,1,1,30,13,2,4,1,2,33,14,1,6
W,ROU,R,USA,R,181,26,28,185,24,43,6,7,1,4,45,21,7,4,3,1,51,18,13,5
W,USA,R,RUS,R,175,24,108,176,30,49,6,4,3,0,36,15,6,4,2,1,28,10,3,5
W,CZE,L,TPE,R,183,26,12,169,30,80,6,4,2,3,28,13,7,2,1,1,26,8,5,3
W,RUS,R,GBR,R,174,31,15,170,24,56,6,1,0,2,27,12,4,4,0,1,26,7,4,4
W,RUS,R,TUR,R,177,25,27,173,27,83,6,3,0,1,24,12,4,2,0,2,30,11,5,4
W,BEL,R,RUS,L,182,27,54,178,28,29,2,6,1,1,23,7,6,2,0,1,21,8,3,2
W,ESP,R,FRA,R,182,23,4,175,25,203,6,2,0,1,20,11,5,1,0,1,20,6,2,4
W,ROU,R,KAZ,R,168,25,6,173,23,90,7,6,1,2,28,8,8,3,0,1,39,15,3,6
W,JPN,R,CRO,R,180,19,101,180,34,52,6,3,2,1,26,12,3,2,1,3,27,7,5,4
W,AUS,R,CHN,R,172,32,24,178,27,69,6,3,1,2,32,14,5,5,1,1,28,11,4,4
W,CZE,L,SUI,R,177,29,13,170,24,130,6,2,1,1,27,16,4,2,1,1,24,8,4,3
W,BUL,R,SWE,R,180,29,102,174,28,62,7,5,2,1,37,15,8,2,2,1,44,18,8,5
W,USA,R,PAR,R,170,23,22,163,24,161,7,6,1,1,40,20,6,3,1,0,35,14,4,5
W,CZE,R,SLO,R,164,30,33,182,25,94,6,4,1,1,31,12,6,2,1,1,35,10,9,4
W,POL,R,FRA,R,170,27,2,178,23,40,6,2,1,2,35,16,4,4,3,2,36,10,7,7
W,USA,R,FRA,R,175,35,1,184,23,30,6,4,2,1,45,19,11,2,2,4,48,19,11,6
W,UKR,R,SRB,R,174,22,20,183,29,16,6,4,1,2,33,12,6,4,2,1,36,11,5,7
W,ESP,R,SVK,R,162,28,14,161,27,25,6,4,0,1,35,15,3,5,0,1,36,12,7,7
W,KAZ,R,ITA,R,163,21,60,180,29,118,6,1,0,0,22,12,4,2,1,1,30,11,3,6
W,NED,R,RUS,R,182,24,58,170,19,32,6,2,1,1,43,17,6,5,0,1,36,15,4,4
W,USA,R,PUR,R,178,21,17,170,23,53,7,6,5,1,37,17,5,5,0,2,45,15,8,5
W,USA,R,FRA,R,185,36,11,173,26,50,7,6,0,1,25,10,7,1,0,1,29,12,5,3
W,SUI,R,FRA,R,170,27,9,175,30,88,6,4,0,0,29,15,3,2,1,0,27,9,5,4
W,ROU,R,GER,R,181,26,28,170,22,39,6,4,1,2,29,12,5,4,0,1,28,11,4,5
W,USA,R,CZE,L,175,24,108,183,26,12,6,0,2,0,28,12,6,2,0,2,25,9,3,4
W,RUS,R,RUS,R,174,31,15,177,25,27,6,1,4,1,30,14,6,2,0,2,25,6,6,3
W,ESP,R,BEL,R,182,23,4,182,27,54,6,3,2,2,23,11,4,1,2,2,23,7,2,3
W,ROU,R,JPN,R,168,25,6,180,19,101,4,6,0,1,33,13,5,4,1,1,24,7,4,3
W,AUS,R,CZE,L,172,32,24,177,29,13,6,3,5,1,37,14,10,3,2,1,30,15,4,3
W,BUL,R,USA,R,180,29,102,170,23,22,6,2,1,1,19,8,7,1,1,1,23,6,3,4
W,POL,R,CZE,R,170,27,2,164,30,33,6,2,1,1,30,10,6,4,0,1,34,12,4,5
W,USA,R,UKR,R,175,35,1,174,22,20,6,1,4,1,29,11,7,4,0,1,21,5,2,4
W,KAZ,R,ESP,R,163,21,60,162,28,14,7,5,2,0,40,16,8,6,0,1,37,13,6,6
W,NED,R,USA,R,182,24,58,178,21,17,7,6,0,1,37,19,6,1,1,1,37,16,7,3
W,SUI,R,USA,R,170,27,9,185,36,11,6,2,1,1,32,13,6,3,1,1,25,9,3,4
W,USA,R,ROU,R,175,24,108,181,26,28,6,3,1,0,25,10,6,2,1,2,32,13,3,4
W,ESP,R,RUS,R,182,23,4,174,31,15,6,3,3,1,34,16,6,2,1,1,39,15,7,6
W,AUS,R,ROU,R,172,32,24,168,25,6,7,6,1,1,28,14,6,4,1,0,36,17,2,4
W,BUL,R,POL,R,180,29,102,170,27,2,2,6,0,1,35,11,7,5,2,1,30,11,3,4
W,USA,R,KAZ,R,175,35,1,163,21,60,5,7,1,1,32,14,6,3,0,1,28,11,4,5
W,NED,R,SUI,R,182,24,58,170,27,9,7,5,0,3,43,16,8,7,0,1,36,11,5,7
W,ESP,R,USA,R,182,23,4,175,24,108,7,5,3,1,29,15,5,2,2,1,30,9,7,3
W,AUS,R,BUL,R,172,32,24,180,29,102,6,4,0,2,43,18,7,7,1,1,35,15,6,3
W,USA,R,NED,R,175,35,1,182,24,58,7,6,3,1,43,17,8,5,1,1,40,16,6,4
W,ESP,R,AUS,R,182,23,4,172,32,24,6,2,3,3,25,11,5,3,2,3,29,8,6,5
W,ESP,R,USA,R,182,23,4,175,35,1,7,5,2,5,40,17,8,4,4,2,35,12,8,5
W,RUS,L,GER,L,178,29,40,173,29,1,6,2,2,1,35,16,5,8,0,2,29,9,4,7
W,UKR,R,UKR,R,174,28,42,170,23,140,6,4,0,2,24,11,5,1,1,1,33,11,3,8
W,LAT,R,USA,R,178,20,47,175,21,128,4,6,1,2,29,10,6,3,0,2,34,11,5,5
W,PUR,R,ITA,R,170,24,41,163,34,33,6,3,1,1,26,10,6,2,2,1,29,10,7,3
W,AUS,R,SVK,R,172,33,22,163,27,95,7,5,3,1,33,14,8,4,1,2,30,11,3,5
W,BEL,R,LUX,R,165,31,87,180,32,70,6,3,4,1,35,15,6,4,1,1,39,12,7,8
W,USA,R,RUS,R,168,32,117,170,28,80,7,5,2,1,31,7,11,5,0,4,31,9,4,7
W,CZE,L,USA,R,183,27,16,180,26,85,6,3,5,3,28,15,6,2,0,2,26,10,4,3
W,DEN,R,AUS,U,177,27,12,168,18,337,6,4,0,1,29,11,7,4,0,1,29,11,5,4
W,CAN,R,FRA,R,178,20,195,170,19,269,6,3,2,1,33,16,5,4,0,0,30,8,8,4
W,USA,R,NED,L,170,18,48,173,25,162,6,3,2,1,29,14,4,2,0,1,26,11,4,3
W,NED,R,CRO,R,182,25,18,180,24,311,4,6,4,2,24,11,6,1,0,2,25,8,5,3
W,CHN,R,CRO,R,178,28,34,178,21,75,7,5,1,2,41,17,6,7,1,5,47,15,8,11
W,BLR,R,SUI,R,175,23,98,170,25,65,4,6,1,2,32,12,4,5,1,3,37,13,5,6
W,FRA,R,ITA,R,183,21,56,168,25,93,6,2,5,4,34,14,6,6,1,3,22,5,6,3
W,RUS,R,USA,R,174,32,9,170,25,61,7,5,2,2,40,18,4,6,0,2,43,13,9,7
W,ESP,R,ITA,R,182,24,5,166,37,78,6,2,1,1,29,12,7,3,1,2,26,7,5,6
W,EST,R,ROU,R,175,21,53,168,30,54,7,5,3,2,32,15,7,3,0,2,31,13,3,4
W,SWE,R,RUS,U,174,29,59,185,20,74,6,4,1,2,36,17,6,5,1,2,36,14,6,7
W,KAZ,R,FRA,R,163,22,29,175,26,204,6,3,1,2,28,12,6,3,0,3,22,8,2,3
W,TUR,R,CRO,R,173,28,155,180,35,25,6,3,1,1,26,14,5,0,1,4,29,11,5,3
W,USA,R,NZL,R,175,25,49,174,29,144,7,6,2,1,33,18,7,2,2,2,32,15,7,2
W,ITA,R,JPN,L,164,30,91,159,26,58,7,6,0,1,34,15,3,5,0,2,34,9,6,5
W,FRA,R,USA,R,184,24,14,178,22,88,3,6,1,2,39,15,8,3,3,2,40,15,7,4
W,USA,R,CHN,R,185,37,11,173,25,52,6,4,2,5,44,21,6,5,1,1,39,12,11,5
W,JPN,R,USA,R,155,25,90,180,16,267,3,6,0,1,39,15,5,7,1,1,39,15,5,7
W,NED,R,SRB,R,168,25,105,177,32,63,6,2,2,2,27,14,6,1,3,2,32,11,8,4
W,BEL,U,AUS,R,178,22,60,165,23,24,7,6,1,2,33,11,6,4,0,0,29,11,5,3
W,SUI,R,ESP,R,170,28,31,175,21,84,6,1,0,1,31,11,7,5,0,5,22,5,2,4
W,USA,R,GER,R,168,27,82,180,29,51,1,6,0,1,40,18,3,4,2,2,42,18,5,6
W,TUN,R,ROU,R,168,23,114,173,25,106,6,3,3,2,35,12,10,4,0,2,37,14,5,7
W,SVK,R,ESP,R,161,28,7,166,25,62,6,2,0,2,33,16,6,2,0,2,23,8,3,3
W,UKR,R,KAZ,R,174,23,6,180,30,45,6,4,1,1,34,13,9,3,0,0,26,11,4,2
W,BUL,R,GER,R,180,30,77,185,27,50,6,0,1,1,29,15,4,3,1,1,28,10,4,4
W,POL,R,FRA,R,170,25,94,173,27,259,6,0,2,1,25,12,5,1,1,4,39,12,7,7
W,CRO,R,MNE,R,175,19,30,170,23,107,7,5,2,2,42,21,7,3,5,2,45,16,9,5
W,LAT,U,GER,R,170,27,19,170,23,71,6,2,2,2,28,12,7,2,0,0,30,10,5,4
W,CAN,R,JPN,R,178,23,57,163,23,72,2,6,1,1,23,11,4,2,0,1,28,12,3,3
W,CRO,R,UKR,R,181,26,290,175,31,92,6,2,4,2,32,16,5,2,2,2,30,11,4,5
W,USA,R,AUS,R,178,22,13,165,21,76,6,3,1,0,25,11,7,0,1,4,28,12,4,4
W,RUS,R,BRA,L,176,31,15,183,21,101,6,2,2,1,28,10,6,4,1,2,31,13,3,4
W,USA,L,GER,R,180,31,68,180,30,79,6,4,0,1,29,14,3,3,1,0,26,11,4,3
W,ROU,R,CHN,R,176,27,64,173,31,36,6,3,1,2,25,11,6,2,1,0,23,8,3,4
W,ESP,R,GRE,R,162,29,23,173,22,99,6,4,0,1,21,8,5,2,0,1,34,9,6,7
W,RUS,R,BEL,R,170,20,28,182,28,69,7,5,0,1,30,13,9,1,2,1,33,17,4,4
W,CZE,L,FRA,R,173,18,96,165,24,215,6,1,1,3,17,9,4,0,1,1,23,6,2,5
W,GER,R,CHN,R,173,30,102,185,28,66,6,4,1,1,31,14,5,4,1,2,24,8,3,6
W,ROU,R,SVK,R,168,26,4,168,24,89,6,2,0,1,25,12,3,3,0,2,29,9,3,5
W,TPE,R,GBR,R,169,31,109,180,26,8,1,6,0,0,35,12,9,4,1,0,31,15,6,3
W,USA,L,JPN,R,170,21,121,155,23,199,6,4,0,1,30,14,4,5,0,1,27,7,5,4
W,FRA,R,CZE,L,178,23,260,183,25,44,6,7,2,3,30,13,7,1,1,1,30,10,6,3
W,FRA,R,JPN,R,178,24,27,163,22,83,6,2,2,2,21,11,4,1,1,2,28,9,4,6
W,CZE,R,USA,R,164,31,21,175,27,37,6,3,2,1,32,14,6,3,0,1,23,9,3,4
W,FRA,R,HUN,R,173,27,43,179,24,35,6,2,0,1,38,18,4,5,0,2,33,11,5,3
W,BEL,R,JPN,R,178,23,113,180,20,55,6,3,2,1,32,14,7,2,2,1,33,12,7,5
W,POL,R,FRA,U,170,28,10,170,20,208,6,1,2,1,26,12,5,2,0,1,26,7,5,4
W,RUS,R,ROU,R,177,26,17,173,23,120,6,1,1,1,10,5,1,1,0,1,9,1,2,1
W,PAR,R,CZE,L,163,25,97,177,30,39,6,1,1,1,21,12,4,2,1,3,29,10,5,6
W,COL,R,ROU,R,170,28,115,181,27,46,7,6,1,5,39,14,7,8,1,4,33,11,5,4
W,SVK,R,USA,R,180,29,192,185,25,20,6,1,3,0,28,11,9,1,1,2,22,8,4,2
W,GER,R,USA,R,175,22,73,157,24,26,2,6,0,1,29,13,2,3,1,1,29,10,5,4
W,FRA,R,RUS,L,175,31,81,168,22,103,6,3,2,2,29,14,5,3,1,1,22,6,3,4
W,RUS,U,CZE,R,173,23,86,175,21,38,6,4,1,2,31,13,7,2,1,0,23,10,4,2
W,CZE,R,CHN,R,184,25,3,170,23,67,7,5,0,1,29,12,6,2,0,1,34,12,4,4
W,UKR,R,RUS,L,174,28,42,178,29,40,6,2,0,1,29,12,5,2,0,1,19,6,2,3
W,LAT,R,PUR,R,178,20,47,170,24,41,6,3,3,2,33,15,9,2,2,2,24,11,3,2
W,AUS,R,BEL,R,172,33,22,165,31,87,6,2,1,1,29,11,11,1,1,1,43,16,8,6
W,USA,R,CZE,L,168,32,117,183,27,16,7,6,2,1,46,14,14,7,2,5,42,21,3,3
W,DEN,R,CAN,R,177,27,12,178,20,195,6,0,1,0,17,10,3,1,1,1,21,5,3,4
W,USA,R,NED,R,170,18,48,182,25,18,6,3,0,1,41,14,9,4,3,3,35,13,5,5
W,CHN,R,BLR,R,178,28,34,175,23,98,6,2,1,0,31,13,6,2,0,2,26,10,3,3
W,RUS,R,FRA,R,174,32,9,183,21,56,7,6,2,0,38,12,6,5,1,4,37,12,6,4
W,ESP,R,EST,R,182,24,5,175,21,53,6,7,1,1,30,13,7,1,1,1,30,12,6,2
W,KAZ,R,SWE,R,163,22,29,174,29,59,6,3,0,2,36,16,4,3,0,0,25,12,3,3
W,USA,R,TUR,R,175,25,49,173,28,155,7,6,1,1,38,14,7,4,0,1,42,17,4,6
W,FRA,R,ITA,R,184,24,14,164,30,91,6,2,1,2,33,14,5,3,0,0,26,11,1,5
W,USA,R,JPN,R,185,37,11,155,25,90,6,3,1,3,29,14,5,2,0,2,32,10,3,7
W,BEL,U,NED,R,178,22,60,168,25,105,6,3,1,1,31,15,4,3,1,2,34,11,7,4
W,SUI,R,USA,R,170,28,31,168,27,82,6,0,0,1,27,14,4,4,0,0,26,10,2,6
W,TUN,R,SVK,R,168,23,114,161,28,7,6,4,2,2,25,12,6,1,0,2,36,15,5,5
